user_id,user_name,num_games,max_viewers
37046781,TheWutofWat,2,173
193800457,NicFN,2,173
56536858,dk_nice1,2,171
25635695,JaeRoar,2,171
48228172,TigerWriter,2,171
70933080,AuroraStarr,2,170
457571622,Daores,2,169
108338992,Azarnn,2,168
26935355,Braincage,2,167
137310298,KoosGK,2,167
74364938,Gwizmayne,2,166
49855925,kamikpro,2,166
137466191,z4mmpa,2,165
145498137,CheekyErika,2,163
54844912,MarcoOPz,2,162
83691960,BAXBEAST,2,161
72448313,Fruitbats,2,161
144345157,Lnz3,2,161
19802835,OMGchad,2,161
57709221,actionjaxon,2,158
144454475,ThatNerdViolet,2,158
177739106,RaiCanning,2,156
46061760,BtHMaNiaC,2,156
105618031,CorruptedG,2,155
466603236,Totorru,2,155
31712021,chonarthas,2,154
52562094,RayBaconGamer,2,154
120079562,dinossindgeil,2,154
122069375,elchamp_,2,153
147013765,JAnchorGaming,2,153
127213645,DkHmoon,2,152
202551758,Slend00,2,151
16312051,IAmSp00n,2,151
44932815,Bluee,2,150
59020100,KroTukk,2,150
154610794,KyleDempsterStudios,2,148
58055842,VikingDan,2,148
70252084,DoubleDAvi,2,147
51073889,ooCLANoo,2,147
188799904,tuzaopxg,2,146
83451000,Kappa_Why,2,146
99865081,Fathermoor,2,145
145721238,McGugu,2,145
72726363,edopeh,2,144
146244950,JogaiziTV,2,143
60515258,Caith_Sith,2,143
22168131,Rythian,2,142
155849154,mirageeputo_,2,141
52972297,Dangar,2,140
38329374,jaaski,2,140
58871377,SaltyLeon,2,140
468128819,Eddieice,2,139
101364650,Sharuman,2,138
458916766,RoacheVR,2,138
54558213,SirCojones,2,137
49627103,EpicNPCMan,2,135
32673323,gutelaunetyp,2,135
88653446,KaitoKoruba,2,135
125720201,unixdev,2,133
84621674,drholdem,2,133
40369913,TeaLex,2,133
28090481,Spinachee,2,133
41493996,SirlionhartLive,2,132
67768280,StellaChuu,2,131
135640539,DfreezeGIRL,2,131
35739181,KingJae,2,130
67029440,Marche,2,130
435756271,forclosed3,2,130
32393428,SincerelyLyn,2,130
50861853,Needle_xD,2,130
255496432,Dicotainment,2,128
72307406,officialEGF,2,127
20488281,Rurikhan,2,127
186828000,JuanmaINI,2,126
47193301,Scardor,2,126
23203960,Zet0r,2,126
144525628,mittenskittens,2,125
231144835,SoundWaveTR,2,125
98177482,KeziaTv,2,125
142153298,ChinnJ,2,124
21951437,missharvey,2,124
137659020,Gnikbruch,2,123
61491333,HoodyMT,2,122
262333980,xxx4000__,2,121
101049128,Chipsette_FR,2,121
185861725,WePlayGamesBR,2,120
56070685,alexotos_live,2,120
107103860,MisterNobodyTV,2,117
93854684,elbanan0,2,117
236152690,injured12cs,2,116
189719915,lily_charles,2,116
81334816,kAppsYT,2,113
78189218,xCandyLashes,2,112
52981447,donatolive,2,112
165753222,SaveFile17,2,110
57413515,Ralisco,2,110
244028861,PANGCHOM,2,110
57348201,Zorao,2,107
122864313,Starovec,2,107
29767678,Dareyck,2,107
159861977,ylyahsil,2,107
114772787,Agustabell212,2,106
54603105,Jabo,2,105
104613563,AquaBoost,2,105
45776749,Ribanne,2,104
116067965,Zekeice,2,104
110089176,KatherineElizabeth,2,102
92400993,knightenator,2,102
160748980,Nana_77,2,102
